code_table,code_value,description,severity_rank,crt_days
triage_category,1,Urgent,1,28
triage_category,3,Semi-Urgent,2,91
triage_category,2,Routine/Non-Urgent,3,
triage_category,4,Excluded,,
gp_priority,1,Urgent,,
gp_priority,2,Routine,,
referral_source,12,General Practitioners (GP),,
referral_source,6,Emergency Department within the hospital,,
referral_source,7,Assessment unit within the hospital,,
referral_source,11,Advanced Nurse Practitioners,,
referral_source,4,Consultants within the hospital,,
triage_outcome,1,Accept,,
triage_outcome,2,Redirected,,
triage_outcome,3,Reject,,
suspension_reason,101,NTPF Outsourcing Initiative,,
suspension_reason,102,NTPF Insourcing Initiative,,
suspension_reason,103,HSE Outsourcing Initiative,,
suspension_reason,104,HSE Insourcing Initiative,,
cancellation_reason,21,Cancelled by Consultant/Team,,
cancellation_reason,22,Cancelled by Patient/Guardian (non-clinical),,
cancellation_reason,12,Patient Did Not Attend,,
cancellation_reason,30,Patient Unfit,,
cancellation_reason,110,Service Restructuring,,
removal_reason,104,Admitted or attended ED for the same condition,,
removal_reason,11,Is deceased,,
removal_reason,91,Failed to attend appointment,,
removal_reason,109,Had their referral rejected,,
clinic_classification,10000,Procedures Clinics,,
clinic_classification,20000,Medical Consultation Clinics,,
clinic_classification,30000,Stand-alone Diagnostics Clinics,,
clinic_classification,40000,Allied Health/CNS/ANP Clinics,,
